stratum,year,pondEst,sePondEst,VCF,seVCF
42,2013,88048,9367,0.91,0.05
43,2013,102696,11190,0.91,0.05
44,2013,71407,9108,0.91,0.05
45,2013,980660,73162,1.91,0.12
46,2013,414367,36252,1.91,0.12
47,2013,41478,9260,1.91,0.12
48,2013,340728,33164,1.91,0.12
49,2013,181195,38180,1.91,0.12
75,2013,208780,38116,1.2,0.04
76,2013,300517,14392,1.2,0.04
26,2014,621016,56052,1.09,0.05
27,2014,217032,14551,1.09,0.05
28,2014,177836,18341,1.09,0.05
29,2014,202551,49296,1.09,0.05
30,2014,491388,44244,1.04,0.05
31,2014,405130,82053,1.04,0.05
32,2014,867290,68673,1.04,0.05
33,2014,123776,9328,1.04,0.05
34,2014,489857,61547,0.9,0.07
35,2014,366144,50055,0.9,0.07
36,2014,39537,5378,0.9,0.07
37,2014,243717,27192,0.9,0.07
38,2014,40191,3872,0.9,0.07
39,2014,211973,37198,0.9,0.07
40,2014,132451,15748,0.9,0.07
41,2014,242314,29207,2.12,0.16
42,2014,231940,22665,2.12,0.16
43,2014,200899,29738,2.12,0.16
44,2014,290479,35731,2.12,0.16
45,2014,671970,62434,1.54,0.07
46,2014,394886,26816,1.54,0.07
47,2014,36761,14251,1.54,0.07
48,2014,322639,42989,1.54,0.07
49,2014,159415,33973,1.54,0.07
75,2014,236667,31149,1.2,0.04
76,2014,467344,20417,1.2,0.04
26,2015,602328,55061,1.46,0.06
27,2015,178291,22178,1.46,0.06
28,2015,124503,12180,1.46,0.06
29,2015,117447,15612,1.46,0.06
30,2015,356857,32527,1.25,0.05
31,2015,397514,70897,1.25,0.05
32,2015,770225,66137,1.25,0.05
33,2015,106691,7611,1.25,0.05
34,2015,597424,69467,0.99,0.04
35,2015,342781,23073,0.99,0.04
36,2015,38671,8166,0.99,0.04
37,2015,167806,11471,0.99,0.04
38,2015,37532,3785,0.99,0.04
39,2015,166009,31762,0.99,0.04
40,2015,146896,19585,0.99,0.04
41,2015,254084,22416,2.13,0.17
42,2015,222259,22633,2.13,0.17
43,2015,214281,21731,2.13,0.17
44,2015,219224,28951,2.13,0.17
45,2015,556741,52387,1.5,0.1
46,2015,323984,23741,1.5,0.1
47,2015,27859,6046,1.5,0.1
48,2015,215927,35382,1.5,0.1
49,2015,122391,21807,1.5,0.1
75,2015,135481,17366,1.2,0.04
76,2015,231387,13649,1.2,0.04
